GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,tower,Lid,0,62,0,0,0,21,0,8,0,8
JaCoCo Coverage Report,tower,StickyLid,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,tower,TowerC5Test,8,392,3,3,0,108,2,28,0,27
JaCoCo Coverage Report,tower,TowerAtest,237,0,36,0,59,0,23,0,5,0
JaCoCo Coverage Report,tower,TowerCC4Test,3,359,6,16,0,74,6,18,0,13
JaCoCo Coverage Report,tower,Tower,164,1319,60,159,17,268,54,91,0,34
JaCoCo Coverage Report,tower,TowerContest,9,126,4,20,2,25,5,11,1,3
JaCoCo Coverage Report,tower,CrazyLid,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,tower,TowerC4Test,2,492,8,34,0,89,8,29,0,16
JaCoCo Coverage Report,tower,HierarchicalCup,0,19,0,0,0,8,0,4,0,4
JaCoCo Coverage Report,tower,Cup,0,213,0,0,0,62,0,15,0,15
JaCoCo Coverage Report,tower,OpenerCup,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,tower,FearfulLid,0,9,0,0,0,4,0,2,0,2
