GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,tower,CrazyLid,2,7,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,tower,Lid,33,29,0,0,10,11,4,4,4,4
JaCoCo Coverage Report,tower,StickyLid,2,7,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,tower,TowerC4Test,2,492,8,34,0,89,8,29,0,16
JaCoCo Coverage Report,tower,HierarchicalCup,0,19,0,0,0,8,0,4,0,4
JaCoCo Coverage Report,tower,TowerAtest,237,0,36,0,59,0,23,0,5,0
JaCoCo Coverage Report,tower,Cup,60,153,0,0,18,44,5,10,5,10
JaCoCo Coverage Report,tower,OpenerCup,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,tower,TowerCC4Test,3,359,6,16,0,74,6,18,0,13
JaCoCo Coverage Report,tower,FearfulLid,2,7,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,tower,Tower,451,1032,98,121,77,208,75,70,6,28
